case_number,incident_datetime,incident_type,FCR,address_1,city,state,zip,created_at,updated_at,hour_of_day,day_of_week,Incident Block Location
C19007153,02/22/2019 10:00:00 PM,Breaking & Entering,274,25200 Block NE 100TH ST,REDMOND,WA,98053,02/24/2019 02:04:00 PM,02/26/2019 01:55:00 AM,22,Friday,POINT (-121.999863 47.687032)
C19030199,08/07/2019 07:05:00 PM,Theft from Vehicle,288,13800 Block 180TH AVE SE,RENTON,WA,98059,08/08/2019 08:16:00 PM,08/13/2019 04:49:00 PM,19,Wednesday,POINT (-122.101077 47.478305)
C19024560,06/28/2019 10:35:00 AM,Other,503,9800 Block 20TH AVE SW,SEATTLE,WA,98106,06/28/2019 07:36:00 PM,06/28/2019 09:37:00 PM,10,Friday,POINT (-122.359177 47.514925)
C19037908,09/25/2019 12:00:00 AM,Other,503,28800 Block 156TH AVE SE,KENT,WA,98042,10/08/2019 05:45:00 PM,11/07/2019 11:06:00 PM,0,Wednesday,POINT (-122.133676 47.342523)
C18041046,09/18/2018 09:28:00 AM,Vehicle Recovery,311,7000 Block S 116TH PL,SEATTLE,WA,98178,02/21/2019 12:12:00 AM,02/21/2019 12:13:00 AM,9,Tuesday,POINT (-122.245648 47.498156)
C19031394,08/02/2019 12:01:00 AM,Breaking & Entering,274,11700 Block 188TH AVE SE,ISSAQUAH,WA,98027,08/18/2019 03:53:00 AM,08/19/2019 07:08:00 PM,0,Friday,POINT (-122.08981 47.497045)
C19035865,09/02/2019 12:00:00 AM,Other,231,8500 Block S 116TH ST,KING COUNTY,WA,98178,09/23/2019 04:16:00 PM,09/23/2019 06:07:00 PM,0,Monday,POINT (-122.225611 47.498979)
C19021480,06/05/2019 05:30:00 PM,Property Crime,336,12100 Block SW COVE RD,VASHON,WA,98070,06/06/2019 09:06:00 PM,06/07/2019 12:47:00 AM,17,Wednesday,
C19042328,11/04/2019 10:50:00 PM,Weapons Offense,225,1 Block AVE SW & SW ROXBURY ST,SEATTLE,WA,98126,11/06/2019 05:46:00 PM,12/11/2019 06:18:00 PM,22,Monday,
C18054641,12/21/2018 07:00:00 AM,Theft of Vehicle,300,34000 Block 40TH AVE S,AUBURN,WA,98001,01/17/2019 07:46:00 PM,02/21/2019 01:45:00 AM,7,Friday,POINT (-122.283561 47.29659100000001)
C18040581,09/15/2018 03:00:00 AM,Theft of Vehicle,300,12000 Block 77TH AVE S,SEATTLE,WA,98178,02/21/2019 12:11:00 AM,02/21/2019 12:12:00 AM,3,Saturday,POINT (-122.23698 47.495436)
C18054427,12/19/2018 05:01:00 PM,Assault with Deadly Weapon,103,63400 Block NE 196TH ST,BARING,WA,98224,01/17/2019 07:45:00 PM,02/21/2019 01:44:00 AM,17,Wednesday,POINT (-121.48921900000002 47.771549)
C18044581,10/11/2018 06:40:00 AM,Other,236,31900 Block NE 139TH ST,DUVALL,WA,98019,01/17/2019 07:10:00 PM,02/21/2019 12:36:00 AM,6,Thursday,POINT (-121.914209 47.721043)
C19038737,10/09/2019 12:32:00 PM,Other,371,21400 Block SE FALCON WAY,KENT,WA,98042,10/17/2019 06:15:00 PM,10/17/2019 08:07:00 PM,12,Wednesday,POINT (-122.057016 47.332404)
C19018050,05/11/2019 10:00:00 PM,Assault,112,14200 Block 209TH AVE NE,WOODINVILLE,WA,98077,05/12/2019 05:06:00 PM,06/13/2019 12:27:00 AM,22,Saturday,POINT (-122.05881099999999 47.728332)
C19004456,01/31/2019 09:00:00 PM,Theft from Vehicle,288,11000 Block 18TH AVE SW,SEATTLE,WA,98146,02/02/2019 12:34:00 PM,03/06/2019 01:08:00 AM,21,Thursday,POINT (-122.357806 47.503518)
C19042022,11/02/2019 05:23:00 PM,Other,510,2800 Block RAINIER AVE S,SEATTLE,WA,98144,11/06/2019 12:25:00 AM,11/06/2019 02:17:00 AM,17,Saturday,POINT (-122.296448 47.576114)
C18044825,10/09/2018 12:00:00 AM,Theft,284,3600 Block SOUTHCENTER BLVD,TUKWILA,WA,98188,01/17/2019 07:10:00 PM,02/21/2019 12:36:00 AM,0,Tuesday,POINT (-122.287086 47.465157)
C19029952,08/06/2019 03:30:00 PM,Other,510,500 Block 4TH AVE,SEATTLE,WA,98104,08/08/2019 12:46:00 AM,08/13/2019 12:53:00 AM,15,Tuesday,POINT (-122.329975 47.602883)
C18031862,07/18/2018 06:30:00 AM,Assault,112,18200 Block SE 317TH ST,AUBURN,WA,98092,01/10/2019 08:00:00 PM,02/20/2019 11:16:00 PM,6,Wednesday,POINT (-122.09884099999998 47.317446)
C18048181,11/05/2018 01:52:00 PM,Vehicle Recovery,311,12600 Block 57TH AVE S,SEATTLE,WA,98178,01/17/2019 07:21:00 PM,02/21/2019 01:01:00 AM,13,Monday,POINT (-122.26102300000001 47.489863)
C18031531,07/15/2018 12:00:00 PM,Theft from Vehicle,288,25400 Block SE MIRRORMONT DR,ISSAQUAH,WA,98027,01/10/2019 07:58:00 PM,02/20/2019 11:15:00 PM,12,Sunday,POINT (-122.001069 47.46349)
C19017074,05/04/2019 07:23:00 PM,Other,371,1400 Block S 103RD ST,SEATTLE,WA,98168,05/05/2019 09:27:00 PM,05/06/2019 08:38:00 PM,19,Saturday,POINT (-122.31494400000001 47.511292)
C19036044,09/19/2019 05:43:00 PM,Property Crime,332,37500 Block SE NORTH BEND WAY,SNOQUALMIE,WA,98065,09/23/2019 05:06:00 PM,09/23/2019 06:57:00 PM,17,Thursday,POINT (-121.840364 47.516794)
C19030668,08/11/2019 06:00:00 PM,Assault,112,10800 Block 5TH LANE SW,SEATTLE,WA,98146,08/12/2019 10:14:00 PM,08/14/2019 05:36:00 PM,18,Sunday,POINT (-122.340985 47.505526)
C19010230,03/17/2019 11:23:00 AM,Other,377,19800 Block 241ST AVE SE,MAPLE VALLEY,WA,98038,03/19/2019 11:48:00 AM,03/19/2019 06:10:00 PM,11,Sunday,POINT (-122.019765 47.423655)
C19024352,06/20/2019 04:00:00 PM,Other,165,1300 Block W MEEKER ST,KENT,WA,98032,09/23/2019 10:26:00 PM,09/24/2019 12:18:00 AM,16,Thursday,POINT (-122.249284 47.381315)
C18047280,10/30/2018 01:44:00 PM,Vehicle Recovery,311,15300 Block SE 306TH ST,KENT,WA,98042,01/17/2019 07:18:00 PM,02/21/2019 12:56:00 AM,13,Tuesday,POINT (-122.136091 47.32767)
C19017591,05/08/2019 08:00:00 PM,Other,236,15200 Block SE 288TH ST,KENT,WA,98042,05/09/2019 08:53:00 AM,05/09/2019 07:10:00 PM,20,Wednesday,POINT (-122.138792 47.342925)
C19018227,05/10/2019 12:00:00 AM,Breaking & Entering,274,5400 Block 247TH PL SE,ISSAQUAH,WA,98029,05/16/2019 11:38:00 PM,06/12/2019 06:47:00 PM,0,Friday,POINT (-122.009816 47.554142)
C19008235,03/02/2019 07:40:00 PM,Robbery,129,10000 Block 15TH AVE SW,SEATTLE,WA,98146,03/03/2019 05:06:00 AM,04/10/2019 09:23:00 AM,19,Saturday,POINT (-122.353902 47.513711)
C19011300,03/24/2019 10:17:00 PM,Other,371,10000 Block 17TH AVE SW,SEATTLE,WA,98146,03/26/2019 06:06:00 AM,03/26/2019 05:56:00 PM,22,Sunday,POINT (-122.356229 47.513283)
C19042784,11/04/2019 08:00:00 AM,Other Sexual Offense,143,10700 Block 16TH AVE SW,SEATTLE,WA,98146,11/12/2019 10:36:00 PM,11/19/2019 06:27:00 PM,8,Monday,POINT (-122.355106 47.507096)
C19033848,09/03/2019 11:53:00 PM,Missing Person,563,19300 Block 196TH AVE NE,WOODINVILLE,WA,98077,09/04/2019 03:25:00 PM,09/04/2019 05:17:00 PM,23,Tuesday,POINT (-122.075872 47.766529000000006)
C19010707,03/20/2019 03:05:00 PM,Breaking & Entering,274,18600 Block SE 216TH ST,RENTON,WA,98058,03/21/2019 11:04:00 PM,03/26/2019 06:16:00 PM,15,Wednesday,POINT (-122.09261800000002 47.408802)
C19004255,01/15/2019 10:00:00 PM,Theft of Vehicle,300,600 Block TAYLOR PL NW,RENTON,WA,98057,01/31/2019 11:04:00 PM,02/21/2019 02:34:00 AM,22,Tuesday,POINT (-122.22256200000001 47.491307)
C18041725,09/23/2018 01:16:00 PM,Other,377,10800 Block 5TH LN SW,BURIEN,WA,98146,01/17/2019 06:54:00 PM,02/21/2019 12:17:00 AM,13,Sunday,POINT (-122.340985 47.505526)
C19004427,02/01/2019 12:12:00 AM,Drugs,204,37500 Block SE NORTH BEND WAY,SNOQUALMIE,WA,98065,02/01/2019 11:44:00 AM,02/21/2019 02:34:00 AM,0,Friday,POINT (-121.840364 47.516794)
C19018730,05/16/2019 07:30:00 PM,Other,504,N 100TH ST & AURORA AVE N,SEATTLE,WA,98103,05/18/2019 06:34:00 AM,05/18/2019 09:21:00 PM,19,Thursday,POINT (-122.34456699999998 47.70143)
